s1_shift,s2_shift,S3_shift,m1_shift,m2_shift,m3_shift,s1_center,s2_center,s3_center,m1_center,m2_center,m3_center,steps
0.17012629,0.12677066,0.15514582,1.19470334,1,1.23795545,0.15596052,0.15147845,0.14453092,2.73111725,2.82663727,2.77087402,1
0.17012629,0.12677066,0.15514582,1.19470334,1,1.23795545,0.15481426,0.14467211,0.11397442,1.19314563,1,1,2
0.13502488,0.20187357,0.19285727,1,1.00034332,1.15470052,0.1584553,0.1820545,0.15043674,1,1.19314563,1.19470334,3
0.19694906,0.14872299,0.23462562,1,1.40099967,1.19470334,0.15962517,0.19787654,0.14056881,1,1.40099967,1.41421366,4
0.1648552,0.21922186,0.17438009,1.19314551,1.29200888,1.37792826,0.17648344,0.26011369,0.18399392,1.40099967,1.39221478,1.19314563,5
0.14170998,0.19073336,0.18725108,1.19470334,1.50812435,1.23795545,0.18393119,0.23569646,0.17224592,1.41421354,1.41421366,1.50552523,6
0.16815361,0.22540264,0.19009459,1,1.37094688,1.37762153,0.21279173,0.23719771,0.17559397,1.39996374,1.54532897,1.19470036,7
0.12370805,0.21943299,0.21506849,1.15470052,1.00000048,1.23795545,0.24228832,0.22280541,0.19734609,1.40768707,1.35227191,1.3044225,8
0.16429839,0.19261965,0.17758484,1.40809214,1.19470334,1.41421354,0.21786797,0.23332679,0.24884072,1.52173913,1.35822248,1.39234829,9
0.16799077,0.20292547,0.22227885,1.23795545,1.40099967,1.39447796,0.22416201,0.2340309,0.23013893,1.41421354,1.40099967,1.40099967,10
0.17547639,0.21819685,0.20856525,1.19470334,1.37094688,1.37022221,0.22977711,0.23321088,0.22212063,1.37094688,1.292009,1.40099967,11
0.20458041,0.21892715,0.2173198,1.292009,1.40099967,1.49314249,0.23067051,0.21594404,0.19975995,1.37131989,1.4003582,1.41421366,12
0.1899775,0.20093177,0.20406201,1.34621096,1.48498917,1.40099967,0.23769236,0.22151311,0.2367624,1.35206497,1.5352093,1.40768707,13
0.1727798,0.23180613,0.22294079,1.40099967,1.41421354,1.40732253,0.23263903,0.21442488,0.22814736,1.40638793,1.79649162,1.52230608,14
0.17553291,0.21933094,0.22414336,1.30418086,1.40099967,1.50812435,0.24665813,0.21785004,0.24173544,1.52284944,1.49436617,1.40099967,15
0.17501549,0.21016754,0.19350971,1.41421354,1.50915086,1.30442166,0.2263201,0.23477951,0.26073128,1.40153611,1.41421211,1.53540421,16
0.21494855,0.21309823,0.19436185,1.41419315,1.53065646,1.3044225,0.24943534,0.24289888,0.24668187,1.40099967,1.40099967,1.41421366,17
0.20332035,0.22671975,0.19798264,1.40099967,1.77028453,1.40678883,0.2319117,0.24396291,0.25600222,1.41421354,1.53543365,1.40099967,18
0.19924016,0.20342697,0.21793959,1.41415203,1.40153611,1.80401671,0.2251592,0.22378981,0.2520245,1.51185322,1.731493,1.72398841,19
0.20059095,0.20307364,0.19181116,1.41421366,1.40809214,1.76956272,0.22689848,0.23138936,0.24796912,1.54526722,1.89387476,1.53450382,20
0.18256663,0.19235888,0.17818049,1.5324949,1.40099967,1.54253161,0.23011737,0.21637517,0.2288086,1.73492718,1.40768707,1.68054521,21
0.16611949,0.19023305,0.16457617,1.292009,1.54532897,1.41421366,0.22261903,0.1879777,0.23946305,1.8841176,1.40099967,1.54432344,22
0.16774754,0.17939661,0.15282765,1.30442166,1.89123631,1.52208364,0.21235968,0.20092051,0.2131473,1.54526186,1.41419315,1.54525483,23
0.17254107,0.1729297,0.14300177,1.400859,1.51948452,1.49495709,0.21719626,0.19346924,0.19914101,1.54511738,1.41421366,1.53168058,24
0.17540258,0.16578268,0.135673,1.41421366,1.40768707,1.41419315,0.19822772,0.20300853,0.17359166,1.89077842,1.41421366,1.51959121,25
0.18531896,0.17228909,0.13879246,1.41421366,1.41421366,1.5223031,0.19318159,0.18435383,0.15638144,1.5081228,1.53249705,1.54532874,26
0.16200024,0.18109426,0.14567867,1.41421366,1.53914917,1.57090962,0.18008739,0.18709137,0.11841715,1.70667219,1.55363762,1.74618232,27
0.16582355,0.16487367,0.13305688,1.42016375,1.41421366,1.41090286,0.17884928,0.19573486,0.09840699,1.84436321,1.53543425,1.71378756,28
0.17962508,0.1602459,0.13120358,1.54532897,1.5407356,1.54532611,0.16025949,0.16958679,0.08375639,1.9131403,1.65407169,1.50603163,29
0.17667322,0.15654446,0.11829881,1.54511893,1.41415203,1.53388679,0.14382674,0.14557382,0.07384273,1.7555269,1.47065485,1.41421366,30
0.16380978,0.17121749,0.11180352,1.74677193,1.53167236,1.41421354,0.12400922,0.13267218,0.0632786,1.54532897,1.41421354,1.54384291,31
0.15116066,0.15699446,0.1130091,1.84204483,1.41420424,1.54526174,0.09603357,0.10854103,0.04718204,1.42016375,1.41421366,1.75556421,32
0.14746648,0.13976806,0.10277155,1.54444802,1.87750673,1.41421366,0.06351022,0.10103697,0.03470988,1.88795483,1.41421366,1.40768707,33
0.14588365,0.12034812,0.11296504,1.77324712,1.46348333,1.4076581,0.05499579,0.08353207,0.02638605,1.53490782,1.70135021,1.15470052,34
0.13625205,0.13587767,0.09946997,1.54373395,1.48659647,1.53299487,0.03514488,0.06338453,0.01304869,1.40099967,1.19470334,1,35
0.12730002,0.12221276,0.10473777,1.50812435,1.41421354,1.49574232,0.02652747,0.0547335,0.00895912,1,1.40768707,1,36
0.12677263,0.1220992,0.09065513,1.41421366,1.50812435,1.7575984,0.01267272,0.04791896,0.00912697,1.23795545,1.37094688,0.99943811,37
0.11610861,0.11397935,0.07309468,1.52300119,1.89824188,1.40099907,0.00985793,0.03865405,0.00543519,1.71556604,1.3044225,1,38
0.1100086,0.09978914,0.07636964,1.54532909,1.49501026,1.5081228,0.0095582,0.04007702,0.00432494,1,1.00000048,0.96592587,39
0.09399278,0.10048369,0.05845674,1.54528725,1.41421366,1.50791919,0.00843772,0.02971609,0.00366367,1.00000572,1.53065646,0.99999958,40
0.09106382,0.08365545,0.05153056,1.54527092,1.41419315,1.54532874,0.00647114,0.0243142,0.00323294,0.99999768,1.19470334,0.99999309,41
0.08144297,0.06506174,0.04281057,1.54532897,1.37094688,1.94208562,0.00776229,0.01816855,0.00300672,1,1.00001335,1,42
